index,comment,n_star,date_time,label
15,Sài 2 ngày chưa hết pin. Tìm điểm chê khó luôn ^^ ko có ghi âm cuộc gọi,5,9/1/2020,{FEATURES#Negative};{BATTERY#Positive};{GENERAL#Positive};
16,"Sản phẩm tệ, không như mô tả. Nhiều lỗi nhỏ nói nhân viên chỉ hoài mà không hết. Cảm thấy không đáng mua.",1,12/8/2020,{GENERAL#Negative};{SER&ACC#Negative};
17,"Có hiện tượng tự khởi động lại, gọi điện thoại bĩ rè, vọng, lẫn tạp âm bên ngoài quá lớn",2,2 tuần trước,{FEATURES#Negative};{PERFORMANCE#Negative};
18,"Camera chụp đẹp nhân viên phục vụ nhiệt tình vui vẽ, tiếc cái bộ quà tặng k có liên phải đợi",4,27/12/2019,{CAMERA#Positive};{SER&ACC#Neutral};
19,Sp dùng rất tốt trong tầm giá tầm 2tr. Các tác vụ rất tốt không thua gì các máy tầm trung khác,5,12/10/2019,{FEATURES#Negative};{PRICE#Neutral};{GENERAL#Positive};
20,"iphone là 1 đẳng cấp,hàng chính hãng tgdd bảo hành rất là tuyệt vời,mua hàng điện thoại ở tgdd mình rất yên tâm,cảm ơn",5,8/6/2018,{SER&ACC#Positive};
21,Rất tuyệt vời.pin.camera.mạng.v.v..rất ok.có lẽ máy này sứng đáng vs giá.mua k hối hận chút nào,5,25/12/2019,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};
22,"Sau 2 ngày trải nghiệm thấy máy tốt trong tầm giá,mượt,pin 6p tụt 1% chỉ dùng các tác vụ bình thường kh chơi game có dc kh mọi người(kh hài lòng lắm),camera nét,bắt wifi khỏe.",4,10/2/2020,{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
23,"Không nóng, nhưng mau hết pin, bắt wife khá yếu, dùng được nửa tháng thấy ổn nhưng bắt wife chán quá chán.",3,7/6/2020,{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};
24,"Pin quá tệ, xạc đầy 100%, để 4g và lâu lâu check fb, zalo, trong vòng 7 tiếng đồng hồ rớt 50% pin, bó tay, thất vọng về đt này, khuyên ko nên mua",1,25/10/2019,{BATTERY#Negative};{GENERAL#Negative};
25,"Sản phẩm chụp hình rất đẹp. Máy dùng mượt, chơi game ổn. Nói chung rất ok nè....",5,16/06/2020,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
26,"Mới mua chưa đc 1 tháng tụt 2% pin.chỉ nghe gọi,thỉnh thoảng youtube.còn lại ok.",3,14/11/2019,{BATTERY#Negative};{GENERAL#Positive};
27,"5 sao máy đẹp camera đc
Game ngon có thể nói là máy phân khúc giá 2990 máy này là trùm quá ngon
Khi mua về t thấy âm thanh trong game My Tom nghe cứ ừừ 
Mặc dù vậy máy ngon 😊",4,12/6/2020,{CAMERA#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};
28,"Đã mua xài được tháng nói chung là hài lòng vì không chơi game mua vì độ lạ độc sang ..pin lâu,màn ság đẹp,chụp ảnh ok",4,6/1/2020,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};{GENERAL#Positive};
29,sản phẩm rất tốt đặc biệt camera pin trâu quá tuyêt vời so với tầm giá so với a51 thì ok hơn,5,23/01/2020,{CAMERA#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};
30,"Cũng có thẩm khảo trước khi mua,sau khi mua về sử dụng được 2 tuần thì mình cảm thấy rất hài lòng với sản phẩm và với tầm giá 3,3 triệu",5,18/03/2020,{PRICE#Neutral};{GENERAL#Positive};{OTHERS};
31,Không biết các bạn thì sao chứ mình thấy nếu ai thích chụp ảnh thì nên chọn con này,4,24/04/2020,{CAMERA#Positive};
32,"Mua 1 cái về làm điện thoại phụ phát 4G cũng tốt rặc đi, thêm cái màn hình lớn tiện xem youtube cho con cái",5,23/12/2019,{SCREEN#Positive};{FEATURES#Positive};
33,"Dùng hơn 1 tháng và giờ xảy ra lỗi jack cắm tai nghe , ko cắm nó vẫn hiển thị cắm ko nghe nhạc hay gì đc",3,16/09/2019,{DESIGN#Negative};
34,"Mê nhất táo khuyết. Thích nhất củ xạc, xạc rất nhanh mà ko hề nóng lên tí nào. Hàng thì khỏi chê",5,5/7/2020,{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};
35,"mua đc 2 tháng dùng máy rất ok, pin khỏe, với giá này cấu hình máy ok! cho 5 sao ạ",5,10/11/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
36,"Mua đc 10 ngày , đánh giá chung máy ok , pin kém , chơi liên quân bị giật và tự văng ra một lần . Theo dõi thêm mấy ngày nếu vẫn bị văng ra thì đổi ngay.",4,30/07/2019,{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Positive};
37,"Mới mua hôm qua,dùng rất mượt , cảm ứng vân tay rất tốt nhưng camera trước thì trắng bệch, đáng với giá tiền!",3,3/5/2020,{CAMERA#Negative};{FEATURES#Positive};{PERFORMANCE#Positive};{PRICE#Positive};
38,Tôi mới mua 1 chiếc vsmart bee dùng đc vài hôm như gì mới đầu thì tạm nhưng dùng tầm 1 tuần cảm ứng loạn tùng phèo ứch chế đập luôn,1,26/12/2019,{FEATURES#Negative};
39,Điện thoại này sài ngon . Hợp với tui tiền nữa . Pin cũng trâu . Mình chơi game 4 g khoảng 10 tiếng mới hết pin . Chụp hình cũng tạm ổn . Các bạn nên mua xài,5,20/05/2020,{CAMERA#Neutral};{BATTERY#Positive};{PRICE#Positive};{GENERAL#Positive};
40,Mình mới mua dc 10 tiếng đánh giá thì bin tuột hơi nhanh ko trâu như mình nghĩ . Xài ổn . Chụp hình 48 mp xấu ngang con camera 16 mp . Loa nằm vị trí khó cho những game thủ .,2,1/7/2020,{CAMERA#Negative};{BATTERY#Negative};{DESIGN#Negative};{GENERAL#Positive};
41,"Mua máy để chơi ark Mobil mà không chơi đc, lâu lâu màn hình hay bị đơ và chớp chớp",3,7 ngày trước,{PERFORMANCE#Negative};
42,"Nó còn bị nhiệt khi chơi game nữa ko và nó chơi game ngon hơn realme 5 pro ko 
Mong shop trả lời",4,23/02/2020,{OTHERS};
43,Mua dc gần 1 tháng.giờ máy có hơi chậm. Chơi pubg. Lag liên tục. Còn lại mọi thứ khá ổn,3,8/8/2019,{PERFORMANCE#Negative};{GENERAL#Positive};
44,Mở khóa bằng vân tay quá chán. Ko bằng mấy con tàu khựa. Cam tạm được . Pin cũng ok,2,23/04/2020,{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Neutral};
45,"máy ngon chơi game mượt khỏi bàn pin ổn, chơi hơn 20p mà hao có 7 phần trăm pin",5,31/01/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
46,"Mới mua hôm qua , nghe bảo không có gg , lúc đâu  nghỉ sẽ dỏm lắm , k ngờ khi cài được tất cả fb, zalo , youtube thì xài khá la mươt luôn , quá ngon luôn , tặng sạc dự phòng nữa chứ . Tuyệt",5,1/6/2020,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
47,"May sai chua 1 nam di trung tam bao hanh 3lan. Sac ko vao, hu mic, pin nhanh het...... nan",1,3 tuần trước,{BATTERY#Negative};{GENERAL#Negative};
48,"Máy pin rất trâu, cấu hình rất mượt, chơi game không cảm giác giật gì cả. Mọi thứ Ok cho 5 sao",5,26/05/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
49,Cảm nhận cua mình thì sài mọi thứ ok.còn lại chán mỗi cái bắt wifi lúc dc lúc không có ai giống minh k,3,21/12/2019,{FEATURES#Negative};{GENERAL#Positive};
50,Máy đẹp pin trâu sạc hơi lâu và nhanh nóng gần camera nhân viên tư vấn nhiệt tình,2,12/1/2019,{BATTERY#Neutral};{DESIGN#Positive};{SER&ACC#Positive};
51,"Máy good hơn mình nghĩ , chụp hình đẹp , game bao thắng , cấu hình quá khủng , good",5,25/02/2020,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
52,"ĐT samsung Galaxy a10s mình mới mua về xài chưa được 2 tuần , khi lướt bị đứng , nhảy mh , nhờ đến ktv tại đm kt 3 lần nhưng không khả dụng . Thất vọng quá đi",2,19/11/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};
53,Camera quá tệ còn lại những cái tính năng khác thì ok . Nếu camera mà rõ hơn xí nữa thì quá tuyệt,3,2/5/2020,{CAMERA#Negative};{GENERAL#Positive};
54,"mua từ đợt e nó mới ra, nói chung. Độ hoàn thiện, thiết kế và cảm nhận khi dùng quá ổn, quá tuyệt",5,25/10/2019,{DESIGN#Positive};{GENERAL#Positive};
55,Sản phẩm quá tốt với tầm giá gần 7 triệu cấu hình ổn máy mượt dùng cũng tạm được 5 sao,5,22/12/2019,{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
56,Thật sự mất niềm tin vào joy 3 quá.mua được một tháng mà sạc pin toàn báo nóng máy nong Kinh khủng luôn chỉ sợ nổ.mà chỉ sạc được hơn 70% là không sạc được nữa tắt nguồn sạc pin thì mới được chán hàng Việt Nam quá,1,10/5/2020,{BATTERY#Negative};{GENERAL#Negative};{SER&ACC#Negative};
57,"mới mua chưa được nữa tháng mà lỗi rồi
lỗi máy ảnh
thế này có được bảo hành hay là ko vậy",1,21/06/2020,{CAMERA#Negative};
58,"Máy mới mua về chơi game mượt nhưng sau tầm 1 tháng thì chơi game zingspeed mobile thì có tình trạng tầm 5p là bị đơ màn hình, còn các game còn lại như pubg liên quân thì bình thường",3,10/3/2020,{PERFORMANCE#Neutral};
59,Mình gần mot năm tất cả đều ok.pin tốt sạc nhanh.chơi game ổn ko có gì phải chê cả,5,2 ngày trước,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
60,Pin chờ tụt nhanh quá đổi 2 cái mà vẫn vâyh chắc tại dòng này pin nó như vậy...nên đổi f11 pro sài thử,3,15/08/2019,{BATTERY#Negative};
61,"Mới mua!
Mọi thứ tốt ( trừ camera)
Camera siêu lồi ( lồi ra khoảng 2 mm)
Với 4 camera sau cấu hình khủng
Nhưng độ chi tiết của ảnh thì không bằng con redmi note 4 cũ (đã test thử)
Thật hài hước",5,13/04/2020,{CAMERA#Negative};{DESIGN#Negative};{GENERAL#Positive};{OTHERS};
62,"Không sử dụng mà pin tụt nhanh hơn cả khi sử dụng.Vân tay không nhạy..cứ báo k khớp,thua cả huawei.",1,19/09/2019,{FEATURES#Negative};{BATTERY#Negative};{SER&ACC#Negative};
63,"Khi lên mạng nặng hoặc quá lâu vẫn có hiện tượng lag ,ngoài ra ko vấn đề gì để phàn nàn hết, mình đang đợi ốp lưng nữa là ok",4,2 tuần trước,{PERFORMANCE#Negative};{GENERAL#Positive};{OTHERS};
64,"Máy khá là ok. Mua về đc vài ngày pin khá khỏe, sạc nhanh, chơi game rất mượt. Nhưng mà nhận diện khuôn mặt ko đc nhạy lắm với lại lúc mở âm lượng hơi to tí thì lưng máy rung khá mạnh ko biết có phải lỗi ko",4,22/01/2020,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
65,mình mua chưa tới 1 tháng mà lúc nào củng mất kết nối 4G.và mạng viettel.họ gọi tới toàn cuộc gọi thuê bao.báo nhỡ.vào mạng thì chận rỳ.kỳ ghê,2,6/6/2020,{FEATURES#Negative};
66,Mới đầu sử dụng máy ảnh khá ok nhứng sau 2 tháng mỗi khi phóng to lên x4 là nó thoát ra khỏi máy ảnh,3,2 tuần trước,{CAMERA#Neutral};
67,Máy chụp hình đẹp. Mỗi dung lượng pin   k thích sài rất nhanh hết pin.  6h sáng sạc pin. Sài mới  15h đã còn 20% pin. Trong khi máy k sài liên tục,4,3 tuần trước,{CAMERA#Positive};{BATTERY#Negative};
68,Không bán kèm phụ tùng thay thế...chắc tôi đổi qua hàng khác quá..camera thì tồi tệ..xài rất chán...,1,11/4/2020,{CAMERA#Negative};{GENERAL#Negative};{SER&ACC#Negative};
69,"Sao đang chơi game tự nhiên máy kêt nối lại internet măt dù mạng rất mạnh 
 Còn lúc mạng yếu thì lại hi bị là sao vây ạ 😥",2,17/05/2019,{FEATURES#Negative};
70,"Em mua được nữa tháng lướt cũng mượt pin cũng trâu sạc nhanh,nhưng không hiểu sao xài đc xí là máy nóng ngay phần trên của camera. Mua được nữa tháng tự tắt nguồn 2 lần. Cho e hỏi là do đâu vậy ạ.",4,18/07/2020,{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Negative};{OTHERS};
71,Đt mới mua về khoảng 3 tháng thì bị lỗi camera ko bậc đèn pin đc mong chỉ cho em lỗi khắc phục,1,29/10/2019,{CAMERA#Negative};
72,"Mua được 5 tháng rồi,máy đánh rơi như bổ củi vẫn chạy ngon rất mượt mà,đáng đồng tiền bát gạo,nhưng khuyên mọi người nên chọn máy màu đen nhé,nhân viên bán hàng thì khỏi nói,cho 5 sao luôn.",5,24/02/2020,{PERFORMANCE#Positive};{DESIGN#Positive};{PRICE#Positive};{SER&ACC#Positive};{OTHERS};
73,"Khi không dùng thì lâu lâu sẽ có hiện tượng tự động mở bằng vân tay nhưng hiện lên đồng chữ vân tay không khớp ( vì mình đâu có mở điện thoại, điện thoại tự mở rồi tự không khớp )
Về âm thanh: âm thanh nhạc chuông tỉ lệ nghịch với media, nhạc chuông thì chỉ cần mức 2 là đã to có thể đủ nghe, còn khi mở media thì phải mở ở mức cao nhất mới có thể nghe rõ",3,29/04/2020,{FEATURES#Negative};{OTHERS};
74,Sài được 1 tháng.. máy mạnh pin trâu.. ko thấy lỗi gì. Nhưng có 1 bất tiện là máy không có ghi âm cuộc gọi.,4,22/06/2020,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
75,Máy điện thoại sam sung a31 ngon... mỗi là cảm biến vân tay hơi kén chọn...bẩn tý là ko nhận dạng đc.... mọi thứ đều tốt....nhân viên ở vĩnh yên... Vĩnh Phúc nhiệt tình..,5,28/06/2020,{FEATURES#Negative};{GENERAL#Positive};{SER&ACC#Positive};
76,"mọi thứ đều rất ổn, ngoại trừ vân tay được 1đ, giống như thời mà điện thoại hàng lậu giả mở khóa bằng vân tay vậy, đùa chứ mở mãi vân tay ko được ấy, pin bình thường",3,18/06/2019,{FEATURES#Negative};{BATTERY#Neutral};{GENERAL#Positive};
77,Mình mới mua hôm nay. Thật tình mà nói đó khá thất vọng. Máy bắt wifi rất yếu thậm chí bật 4g cũng muốn k nổi. Tải ứng dụng trên CH play gần 30p chưa tải đc? Màn hình cảm ứng k nhậy. So với con nova 3i rất kém xa. Đây là ý kiến sau khi mua về nhà sau hơn 1h của mình. Xin cảm ơn,1,14/05/2020,{FEATURES#Negative};{GENERAL#Negative};{OTHERS};
78,"Sản phẩm tốt, nhân viên nhiệt tình. Cửa hàng sạch sẽ, đảm bảo chất lượng tốt. Rất cảm ơn thế giới di động",3,23/05/2020,{GENERAL#Positive};{SER&ACC#Positive};
79,"Máy xài êm chạy mượt, pin trâu đáng đồng tiền chơi pubg hoặc Liên Quân thì ok mới mua sáng nay, nếu ai còn băn khoăng thì hãy mua đi không uổng tiền đâu, nhân viên nhiệt tình, vui vẻ, sẽ mua đồ ở Điện Máy Xanh dài dài",4,17/11/2019,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
80,"Điện thoại bị tụt pin nhanh lắm,tắt mạng không sử dụng vẫn xuống pin,thất vọng, mới mua có thể đổi lại không",1,16/11/2019,{BATTERY#Negative};{OTHERS};
81,"Máy tốt, chơi game mượt, máy ảnh chụp cũng tạm, mới dùng đc 1 ngày nên chưa biết lâu dài sẽ thế nào, nhưng pin hơi tuột nhanh, tầm giá này thì k đòi hỏi gì nhiều. Nhân viên tư vấn nhiệt tình",5,20/06/2019,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};
82,Mua được mấy ngày chơi game mướt sạc rất nhanh chỉ có vân tay không nhạy lắm nói chung là ổn,4,7/5/2020,{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
83,Có ai giống mình k xm bản tin trong fb bị như thế này. Dùng rất khó chịu. Có ai biết cách khắc phục k vậy.,3,27/02/2020,{PERFORMANCE#Negative};
84,Mua dc hơn tuần. Dùng dc tầm 7-9h . tối om mà vẫn mở khóa khuân mặt dc . chán cái call vidoe mờ tịt. Mua dc 2 hôm giảm 4tr2 xót tiền ~~,5,20/07/2019,{CAMERA#Negative};{FEATURES#Positive};{PRICE#Negative};
85,"Tôi đã mua f11 sử dụng tư t4/2019 đến t2/2020 thì đổi mua a9/2020 sài và so sánh lại thì máy nhận Wifi kém, cảm ứng k nhạy , k lướt và tệ hơn f11 xa.😔😔",1,5/5/2020,{FEATURES#Negative};{OTHERS};
86,"Hàng quá tệ.khong như gioi thiệu.chớ dại mua.chỉ đi bảo hàng mà mêt
Thụi.xin hay tư vấn cho người mua đúng",1,29/05/2020,{GENERAL#Negative};{SER&ACC#Negative};
87,"Chơi game ít Lác 
Pin trâu camera chụp hình đẹp 
NV tư vấn tận tình sẽ còn ủng hộ tgdd
Nhiều",5,23/03/2019,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{SER&ACC#Positive};
88,"máy sài rất ok, chụp hình rất đẹp, truy cập web nhanh, camera kép chụp hình xóa phông chuẩn.",5,30/05/2018,{CAMERA#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};
89,Tôi rất hài lòng về sản phẩm. Nhưng sao pin tuột nhanh vậy ạ. Lại còn sạc lâu hic,3,22/05/2019,{BATTERY#Negative};{GENERAL#Positive};
90,"Mình mua con này chưa được 1 tháng, dùng thấy cũng ok, lướt mượt, đa nhiệm tốt, chơi liên quân ko giật lag nhưng sao pin 4000 mà dùng chưa được 1 ngày đã hết rùi? Mà máy dùng 1 lúc là bị nóng phần lưng cạnh bộ camera là sao vậy ad?",4,16/04/2020,{FEATURES#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};
91,Tai nghe vủa hãng khá hay,5,1 tuần trước,{SER&ACC#Positive};
92,Dùng điện thoại oppo f7 quay sắc nét màu sắc trung thực. Đáng lý ra điện thoại mới ra mắt se quay đẹp. Nhưng hình ảnh chụp kể cả quay phim đều thua xa . Màu cứ ám đen đỏ rất kỳ. Rất thấy vọng thua cả dt oppo f7.,3,1 tuần trước,{CAMERA#Negative};
93,"Máy mới mua đc tầm 2 tuần xài bắt đầu lag kinh khủng. Kéo ko mượt nữa mà kiểu rít rít. Chậm , đã vậy còn lâu lâu tự nhiên bị đứng xong văng ra khi đang sd. Máy mình chủ yếu chỉ fb Zalo vs xài mấy app nhỏ chẳng có 1 cái game nào. Thất vọng tràn trề. Báo là đổi máy khi có lỗi đem ra thì lại bảo để gửi lên hãng kiểm tra lỗi vài ngày. Thua",1,1/7/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{SER&ACC#Negative};
94,"Máy ổn, lq mượt, mọi thứ đều ổn có wifi 4g bắt sóng hơi yếu tí. Tóm lại tốt trong tầm giá",5,29/02/2020,{FEATURES#Negative};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};
95,Sản phẩm quá tốt cho dân cày game đồ họa cấu hình rất Ok chơi game lâu Ko nóng máy nha. Nhân viên TGDD tư vấn nhiệt tình dễ thương nữa chớ,5,29/10/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};
96,"Mua 2 máy. Chất lượng tốt tuy nhiên NV giao hàng lần thứ hai không nhiệt tình lắm.🤗🤗tuy nhiên mua máy rất ưng nên sẽ ủng hộ TGDD dài dài,😚😚",5,10/3/2019,{GENERAL#Positive};{SER&ACC#Negative};
97,"con thứ 2 mua cho vợ, chụp cam sau thì tuyệt vời AI + HDR 
dt màu đỏ thì đẹp lung linh sang chảnh, pin khá cho 1 ngày sử dụng",5,22/07/2019,{CAMERA#Positive};{BATTERY#Positive};{DESIGN#Positive};
98,"Mình mới mua máy được 1 tháng, tất cả đều ok có điều pin nhanh hết quá mong sớm được hỗ trợ.",5,7/1/2020,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};
99,Máy tốt nhưng em hơi thắc mắc tại sai giác cắn tai nghe em cắm vô thì tiếng nghe ko rõ khúc mất khúc nghe cho em tại sao vậy ạ🤔🤔🤔,5,1 ngày trước,{FEATURES#Negative};
100,Đã dùng redmi 5 plus . Giờ chuyển xang redmi note 7 và đánh giá 5 sao cho xiaomi nói chung và note7 nói riêng . Ko còn đòi hỏi gì hơn trong tầm giá 4tr ( đã trừ km ) nếu cấu hình này mà dán chứ samsung vào thì chắc phải 13 tr,5,15/09/2019,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};
101,"Tốt , vừa mới mua , ch biết chất lượng ntn 128gb hết màu trắng đành Ph mua màu xanh :((",4,29/01/2020,{STORAGE#Neutral};{GENERAL#Positive};{SER&ACC#Negative};
102,Máy đẹp nhẹ hiệu năng tốt xài mang và wifi rất ok ngon hơn máy xài mặt lưng bằng kính,5,19/03/2020,{FEATURES#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};
103,"Về điện thoại sau 2 tháng sủ dụng , con CPU G90T càng ngày càng yếu và thua xa con snapdagon 720G về phần chơi game , Con CPU G90T chỉ ngon được 1 thời gian sau 1 tháng là nóng , điện thoại nóng CPU nóng dẫn hết Pin mau . Như đồ cúng",1,3/6/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};
104,"Mình mua máy mới nguyên seal. Không hiểu sao lúc cầm máy về nhà thì có 01 vết xước ở camera trước. Dù không ảnh hưởng gì nhưng cũng hơi khó chịu. Không biết lỗi này TGDD có cho đổi trả không vì mình mua có dán luôn miếng dán chống xước của TGDD. Máy sử dụng tốt, hiệu ứng chuyển cảnh mượt. Mình chơi một số game nhẹ thì ok.",3,23/06/2019,{PERFORMANCE#Positive};{DESIGN#Negative};{OTHERS};
